,PM1,PM2_5,PM10,Temperature,Humidity,RED,NOX,TEMP,OZONE,PM2.5
2019-07-26 22:00:00+00:00,0.7726184210526316,1.2316710526315788,1.5085131578947368,43.258289473684215,61.689210526315776,1370.5657894736842,782.8026315789474,30.0,60.0,4.1
2019-07-26 23:00:00+00:00,1.2679466666666668,1.844826666666667,2.179533333333333,48.41853333333335,55.92613333333333,1395.1466666666668,1028.013333333333,31.1,61.0,4.6
2019-07-27 00:00:00+00:00,1.6587246376811595,2.4380434782608704,3.0370000000000004,39.12898550724638,68.09956521739129,1350.1884057971015,806.072463768116,30.6,59.0,6.7
2019-07-27 01:00:00+00:00,0.4574117647058821,0.898141176470588,1.4267529411764706,31.219529411764704,87.68752941176467,1345.5529411764703,721.364705882353,26.1,56.0,9.8
2019-07-27 02:00:00+00:00,1.039907894736842,1.880368421052632,2.415250000000001,27.65868421052632,99.88986842105248,1364.2763157894738,761.5131578947369,21.7,52.0,6.2
2019-07-27 03:00:00+00:00,1.0748933333333337,1.9142933333333336,2.3965333333333336,28.102533333333326,99.99013333333318,1372.4,810.48,20.6,51.0,3.5
2019-07-27 04:00:00+00:00,1.6275844155844157,2.608779220779221,3.2673246753246765,28.53168831168832,99.98999999999984,1375.7142857142858,826.5844155844156,21.7,46.0,2.6
2019-07-27 05:00:00+00:00,2.6524210526315777,4.0696315789473685,4.825605263157895,28.94894736842105,99.97842105263145,1390.6842105263158,920.6052631578948,21.7,42.0,3.2
2019-07-27 06:00:00+00:00,1.1779275362318842,2.0921159420289848,2.643333333333333,29.80173913043478,99.27898550724632,1376.2463768115942,941.6376811594204,22.8,41.0,2.6
2019-07-27 07:00:00+00:00,1.8087435897435893,2.854089743589744,3.2810128205128204,29.48371794871796,99.28448717948714,1398.3333333333333,981.3717948717948,22.5,38.0,2.7
2019-07-27 08:00:00+00:00,2.657617283950616,4.109493827160494,4.732506172839506,28.039382716049385,99.98999999999984,1410.3456790123455,1039.3703703703704,22.2,35.0,2.3
2019-07-27 09:00:00+00:00,2.8822054794520544,4.517506849315068,5.562561643835616,28.04630136986301,99.98999999999984,1421.5616438356165,1077.1917808219175,21.7,31.0,1.8
2019-07-27 10:00:00+00:00,3.320820512820513,5.102346153846154,5.960371794871794,29.24987179487179,99.98999999999984,1428.3076923076924,1115.7948717948718,21.7,29.0,2.3
2019-07-27 11:00:00+00:00,1.9933026315789475,3.091131578947368,3.709078947368421,27.01039473684212,99.98999999999984,1420.2236842105262,1061.2894736842106,22.2,24.0,2.6
2019-07-27 12:00:00+00:00,2.016466666666667,3.103226666666666,3.637226666666668,27.32826666666666,99.98999999999984,1430.253333333333,1096.0533333333333,21.1,25.0,2.1
2019-07-27 13:00:00+00:00,2.909653333333333,4.390346666666667,5.208653333333333,29.10680000000001,99.98999999999984,1450.3466666666666,1554.28,21.1,30.0,2.5
2019-07-27 14:00:00+00:00,4.165402777777778,6.013444444444444,6.872916666666667,30.916527777777773,99.98999999999984,1445.986111111111,1030.888888888889,21.7,35.0,3.4
2019-07-27 15:00:00+00:00,4.584089743589746,6.36158974358974,7.02314102564103,31.204871794871806,99.99012820512804,1441.923076923077,1030.474358974359,21.1,36.0,3.6
2019-07-27 16:00:00+00:00,3.302232876712328,4.628191780821919,5.116945205479457,37.61753424657532,90.69835616438355,1526.6164383561645,1133.4109589041095,22.2,36.0,3.1
2019-07-27 17:00:00+00:00,0.4586538461538461,0.77025641025641,0.954294871794872,43.910128205128224,71.37141025641024,1434.1666666666667,1109.7564102564102,23.3,44.0,1.9
2019-07-27 18:00:00+00:00,0.0614210526315789,0.2414605263157895,0.3756578947368419,48.97513157894739,62.0761842105263,1433.2368421052631,1160.671052631579,25.6,50.0,1.7
2019-07-27 19:00:00+00:00,0.8817466666666667,1.3682266666666665,1.6253733333333331,52.430799999999984,57.65133333333334,1424.24,1195.4133333333334,26.7,57.0,2.6
2019-07-27 20:00:00+00:00,1.0902702702702702,1.5810270270270268,1.829797297297297,53.9541891891892,55.69351351351351,1446.7837837837835,1263.8783783783783,28.3,56.0,2.4
2019-07-27 21:00:00+00:00,1.3267534246575343,1.834671232876712,2.173328767123288,55.3072602739726,53.56890410958904,1460.0958904109589,1586.6301369863013,29.4,57.0,2.1
2019-07-27 22:00:00+00:00,1.8702666666666663,2.532986666666668,2.836080000000001,52.33133333333331,55.06946666666667,1509.9466666666667,1195.52,30.0,57.0,2.9
2019-07-27 23:00:00+00:00,1.3439102564102563,1.9177179487179483,2.2118846153846152,47.45294871794873,58.4091025641026,1418.1025641025642,1083.4102564102564,30.0,52.0,3.8
2019-07-28 00:00:00+00:00,1.067829268292683,1.7359268292682928,2.106560975609756,41.424268292682925,62.43073170731704,1372.2560975609756,920.8048780487804,30.6,51.0,4.1
2019-07-28 01:00:00+00:00,0.5280694444444446,1.1313055555555556,1.4404722222222224,44.37083333333332,57.70888888888888,1388.6805555555557,1028.611111111111,30.6,46.0,4.6
2019-07-28 02:00:00+00:00,1.5910821917808222,2.378767123287671,2.7870684931506853,35.940684931506844,68.07698630136984,1398.835616438356,852.4520547945206,30.0,44.0,6.2
2019-07-28 03:00:00+00:00,2.245408450704226,3.207225352112676,3.737859154929578,32.48690140845071,77.75521126760563,1362.7323943661972,855.5070422535211,27.8,43.0,6.8
2019-07-28 04:00:00+00:00,2.314460526315789,3.30317105263158,3.7797236842105257,30.44118421052633,80.15921052631576,1357.0131578947369,840.5394736842105,26.7,44.0,5.1
2019-07-28 05:00:00+00:00,2.2507283950617287,3.1433086419753105,3.644320987654321,30.4446913580247,81.88580246913584,1353.4938271604938,847.358024691358,25.0,44.0,4.7
2019-07-28 06:00:00+00:00,2.0707831325301216,2.9850843373493965,3.511614457831325,28.91530120481928,82.92734939759035,1328.1686746987953,761.9759036144578,23.9,41.0,5.6
2019-07-28 07:00:00+00:00,2.463986111111111,3.459875,4.146694444444444,28.048472222222227,85.34430555555555,1338.9444444444443,790.1805555555555,23.6,41.0,7.2
2019-07-28 08:00:00+00:00,3.2725249999999995,4.5473,5.168125000000001,27.404750000000007,87.07362500000002,1366.375,874.9625,23.3,39.0,7.8
